user_id,Most Belonging Perk by names
94883,1 Night Free Hotel with Flight Perk
101486,Free Hotel meal perk
101961,No Cancellation fee perk
106907,Free Checked Bags perk
118043,Free Hotel meal perk
149058,Free Hotel meal perk
153982,Free Hotel meal perk
167852,1 Night Free Hotel with Flight Perk
174997,No Cancellation fee perk
181157,1 Night Free Hotel with Flight Perk
190866,Exclusive discount perk
204997,Exclusive discount perk
217114,Free Hotel meal perk
228195,Free Hotel meal perk
229009,Free Checked Bags perk
252835,Free Hotel meal perk
281952,Free Checked Bags perk
283325,No Cancellation fee perk
298253,Free Checked Bags perk
299476,Exclusive discount perk
306165,1 Night Free Hotel with Flight Perk
312488,No Cancellation fee perk
316527,Free Hotel meal perk
330764,No Cancellation fee perk
330893,Free Hotel meal perk
337227,1 Night Free Hotel with Flight Perk
338086,Free Hotel meal perk
340166,Free Hotel meal perk
347778,1 Night Free Hotel with Flight Perk
348863,Free Hotel meal perk
350648,No Cancellation fee perk
353271,1 Night Free Hotel with Flight Perk
353694,1 Night Free Hotel with Flight Perk
354050,Exclusive discount perk
354260,Free Checked Bags perk
354311,No Cancellation fee perk
357737,Exclusive discount perk
359072,No Cancellation fee perk
359080,Free Checked Bags perk
361459,Free Hotel meal perk
365825,No Cancellation fee perk
372970,No Cancellation fee perk
373489,Exclusive discount perk
374331,No Cancellation fee perk
374341,1 Night Free Hotel with Flight Perk
375160,1 Night Free Hotel with Flight Perk
375729,Exclusive discount perk
375751,Exclusive discount perk
376159,Free Checked Bags perk
377411,1 Night Free Hotel with Flight Perk
378565,No Cancellation fee perk
380434,Free Hotel meal perk
380757,Free Hotel meal perk
380949,Exclusive discount perk
382181,No Cancellation fee perk
382384,Free Checked Bags perk
382533,1 Night Free Hotel with Flight Perk
385689,Free Hotel meal perk
386255,1 Night Free Hotel with Flight Perk
386469,1 Night Free Hotel with Flight Perk
388328,Free Hotel meal perk
388767,Free Hotel meal perk
388947,Free Checked Bags perk
389434,Exclusive discount perk
389662,Free Checked Bags perk
389759,1 Night Free Hotel with Flight Perk
390811,Free Checked Bags perk
392453,Free Checked Bags perk
395981,Free Checked Bags perk
399218,Free Hotel meal perk
400275,Free Hotel meal perk
401245,No Cancellation fee perk
402332,Exclusive discount perk
403881,1 Night Free Hotel with Flight Perk
404879,1 Night Free Hotel with Flight Perk
407250,No Cancellation fee perk
407275,No Cancellation fee perk
408551,No Cancellation fee perk
409073,Exclusive discount perk
413340,Free Hotel meal perk
413658,Free Checked Bags perk
415381,Free Checked Bags perk
416319,Exclusive discount perk
418692,No Cancellation fee perk
420669,Exclusive discount perk
421870,Free Checked Bags perk
422668,1 Night Free Hotel with Flight Perk
424553,Exclusive discount perk
425632,No Cancellation fee perk
425953,Exclusive discount perk
425966,Free Hotel meal perk
428552,Exclusive discount perk
428858,Free Checked Bags perk
429345,Free Hotel meal perk
429375,Free Checked Bags perk
430722,Exclusive discount perk
431746,1 Night Free Hotel with Flight Perk
431899,No Cancellation fee perk
431912,Free Hotel meal perk
432333,Free Hotel meal perk
433080,1 Night Free Hotel with Flight Perk
433339,Free Checked Bags perk
435596,Exclusive discount perk
435882,No Cancellation fee perk
436320,Free Hotel meal perk
436894,Free Checked Bags perk
437069,Exclusive discount perk
437162,No Cancellation fee perk
437251,Exclusive discount perk
438189,Free Checked Bags perk
438839,Free Hotel meal perk
438937,1 Night Free Hotel with Flight Perk
438985,Free Checked Bags perk
440212,Exclusive discount perk
441205,Free Hotel meal perk
441982,No Cancellation fee perk
442484,Exclusive discount perk
442718,Free Hotel meal perk
442833,No Cancellation fee perk
443305,Free Checked Bags perk
444885,Free Checked Bags perk
446138,No Cancellation fee perk
447737,1 Night Free Hotel with Flight Perk
447951,Exclusive discount perk
448025,1 Night Free Hotel with Flight Perk
448154,1 Night Free Hotel with Flight Perk
448295,No Cancellation fee perk
449326,Exclusive discount perk
449980,No Cancellation fee perk
450164,Exclusive discount perk
450193,Exclusive discount perk
451291,Exclusive discount perk
452034,Exclusive discount perk
452532,No Cancellation fee perk
452594,Free Hotel meal perk
452612,No Cancellation fee perk
453168,No Cancellation fee perk
454934,No Cancellation fee perk
456318,1 Night Free Hotel with Flight Perk
456663,Free Checked Bags perk
456671,Free Checked Bags perk
457468,Exclusive discount perk
458479,Exclusive discount perk
458725,1 Night Free Hotel with Flight Perk
458762,Free Hotel meal perk
458814,1 Night Free Hotel with Flight Perk
458855,1 Night Free Hotel with Flight Perk
458919,Free Checked Bags perk
459229,1 Night Free Hotel with Flight Perk
