user_id,ageinyears,gender,married,has_children,home_country,"Free Hotel meal index (based on Scaled age in years, has children/not, and average discount on booked flights",Free Checked Bags perk index ( length of stay and Average Number of Bags Checked ),No Cancellation fee perk index (that included proportion of cancellation and normalised Atbbf),1 Night Free Hotel with Flight Perk index,Exclusive discount perk (Bargain index) includes Scaled ADSPKM and Scaled browsing duration per session
94883,51,F,TRUE,FALSE,usa,0.4788732394,0.1014728864,0.9814719057,0.1666666667,0.05306912057
101486,51,F,TRUE,TRUE,usa,1.478873239,0.01844283846,0.9761879559,0.1666666667,0.1328557984
101961,43,F,TRUE,FALSE,usa,0.3861971831,0.0813600859,0.9839749296,0,0.1290787096
106907,45,F,TRUE,TRUE,usa,1.394366197,1.423646113,0.9454320883,0.6666666667,0.201714943
118043,51,F,FALSE,TRUE,usa,1.478873239,0.1958385521,0.9755460465,0.1524335904,0.1780560494
149058,51,F,FALSE,TRUE,usa,1.488873239,0.08204485673,0.983279805,0.06666666667,0.1505047039
153982,45,F,FALSE,TRUE,canada,1.394366197,0.07749966212,0.9759511342,0,0.1566454042
167852,17,F,FALSE,FALSE,usa,0,0,0,0,0.03879535711
174997,32,F,FALSE,FALSE,usa,0.2112676056,0.07887493243,1.307888403,0,0.1073930775
181157,53,F,TRUE,FALSE,usa,0.5570422535,0.186364619,0.9848660221,0.3600685518,0.2444162785
190866,37,F,FALSE,FALSE,usa,0.2816901408,0.08545513696,0.9798179611,0,0.1791743642
204997,38,F,TRUE,FALSE,usa,0.3791079812,0.1402544545,1.45439944,0.1951156812,0.4868146287
217114,19,O,TRUE,TRUE,usa,1.028169014,0,0,0,0.02692088722
228195,26,F,FALSE,TRUE,usa,1.126760563,0,0,0,0.09410110728
229009,17,F,FALSE,FALSE,usa,0,0.4938395951,1.031636685,0,0.1479661194
252835,38,F,FALSE,TRUE,usa,1.355774648,0.1212974121,0.978003927,0,0.136752994
281952,37,F,FALSE,FALSE,usa,0.2816901408,0.2793668046,0.9800270549,0.1372750643,0.1681742131
283325,50,F,TRUE,FALSE,usa,0.5647887324,0.008737238484,0.9860403052,0.1666666667,0.1724723067
298253,46,F,TRUE,TRUE,usa,1.408450704,0.3643756789,0,0,0.08820453832
299476,38,F,TRUE,FALSE,usa,0.2957746479,0.01521614742,0.9794634347,0,0.1794996921
306165,20,F,FALSE,FALSE,usa,0.04225352113,0,0,0,0.07466276273
312488,30,M,TRUE,FALSE,usa,0.1830985915,0.1875295267,0.983683501,0,0.05782704172
316527,41,F,TRUE,TRUE,canada,1.338028169,0.05924804018,0.9795504856,0.09135389889,0.1442016104
330764,38,F,FALSE,FALSE,usa,0.2957746479,0.1867338863,1.333333333,0,0.2234654397
330893,43,F,TRUE,TRUE,usa,1.366197183,0.1274639453,0.9849443329,0,0.1354177559
337227,34,F,TRUE,FALSE,usa,0.2394366197,0,0,0,0.06661089616
338086,40,F,FALSE,TRUE,usa,1.323943662,0.1019580882,0.9809793676,0.05141388175,0.1420056468
